       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114394          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193893          17.16313902        -154.43944722        -137.27630821
    2400          59.52572193          18.98553111        -156.33952786        -137.35399675
    2500          58.92686581          18.79452794        -156.03041539        -137.23588745
    2600          61.65941061          19.66606402        -156.94491185        -137.27884783
    2700          58.81987816          18.76040458        -156.07031129        -137.30990671
    2800          53.15475448          16.95353222        -154.26693034        -137.31339812
    2900          54.95193292          17.52673631        -154.82877245        -137.30203614
    3000          55.99963546          17.86089755        -155.23428948        -137.37339193
    3100          56.97369924          18.17157195        -155.46229968        -137.29072772
    3200          54.82660764          17.48676423        -154.82425934        -137.33749511
    3300          58.17829322          18.55577320        -155.99088423        -137.43511104
    3400          57.28761264          18.27169359        -155.64132203        -137.36962844
    3500          55.43527731          17.68089739        -155.09613642        -137.41523903
    3600          55.08689943          17.56978343        -155.00142632        -137.43164289
    3700          56.84774316          18.13139868        -155.56340846        -137.43200978
    3800          51.62381545          16.46524431        -153.98188306        -137.51663875
    3900          52.18967956          16.64572478        -154.10776700        -137.46204222
    4000          52.04664938          16.60010578        -153.99311792        -137.39301214
    4100          56.74223323          18.09774664        -155.56866427        -137.47091763
    4200          51.99607944          16.58397667        -154.04219630        -137.45821963
    4300          51.52514228          16.43377283        -153.89627090        -137.46249808
    4400          53.09124488          16.93327605        -154.37667119        -137.44339514
    4500          55.28529147          17.63305991        -154.99819632        -137.36513641
    4600          50.52322812          16.11421564        -153.47870602        -137.36449038
    4700          54.84977295          17.49415273        -154.83105155        -137.33689883
    4800          51.58957682          16.45432401        -153.90884655        -137.45452254
    4900          44.17260908          14.08870681        -151.43603728        -137.34733047
    5000          51.66358244          16.47792786        -153.91729539        -137.43936753
    5100          52.13109972          16.62704094        -154.04258955        -137.41554861
    5200          51.65084988          16.47386685        -153.79881164        -137.32494479
    5300          54.34299411          17.33251730        -154.74742409        -137.41490679
    5400          48.75675741          15.55080568        -152.94575069        -137.39494501
    5500          48.14110056          15.35444397        -152.71866525        -137.36422128
    5600          51.77635365          16.51389586        -153.75659274        -137.24269688
    5700          55.80434649          17.79861078        -155.15930830        -137.36069751
    5800          52.90451275          16.87371845        -154.21503377        -137.34131531
    5900          47.92327976          15.28497075        -152.64893950        -137.36396875
    6000          50.96514024          16.25516204        -153.68956128        -137.43439924
    6100          54.52610035          17.39091843        -154.76723182        -137.37631339
    6200          50.09722963          15.97834483        -153.41673621        -137.43839138
    6300          50.81129323          16.20609305        -153.65188302        -137.44578997
    6400          54.35919036          17.33768304        -154.72948401        -137.39180097
    6500          54.27979697          17.31236078        -154.67216139        -137.35980061
    6600          54.42440328          17.35848249        -154.69917481        -137.34069232
    6700          53.21168344          16.97168952        -154.26209663        -137.29040710
    6800          56.71234068          18.08821251        -155.38658500        -137.29837249
    6900          49.78141325          15.87761625        -153.24150669        -137.36389044
    7000          50.92851233          16.24347969        -153.63900051        -137.39552082
    7100          51.83363154          16.53216445        -153.81040590        -137.27824145
    7200          53.73458530          17.13846733        -154.56248697        -137.42401964
    7300          49.36724917          15.74551999        -153.16426259        -137.41874260
    7400          51.76851344          16.51139525        -153.96975775        -137.45836250
    7500          49.73544259          15.86295406        -153.29739509        -137.43444103
    7600          50.36064225          16.06235941        -153.48185147        -137.41949206
    7700          44.77533169          14.28094318        -151.67980260        -137.39885941
    7800          49.43463802          15.76701344        -153.18994296        -137.42292952
    7900          53.88340153          17.18593178        -154.62094836        -137.43501658
    8000          51.71966626          16.49581560        -153.84420255        -137.34838694
    8100          46.70624017          14.89680002        -152.26855305        -137.37175303
    8200          52.73573064          16.81988596        -154.23900674        -137.41912078
    8300          49.92710789          15.92408507        -153.31211111        -137.38802603
    8400          53.48844857          17.05996284        -154.49189244        -137.43192960
    8500          53.27131426          16.99070858        -154.39821876        -137.40751019
    8600          56.86236262          18.13606151        -155.57207779        -137.43601627
    8700          49.86063403          15.90288346        -153.21231870        -137.30943524
    8800          53.13621098          16.94761783        -154.37086785        -137.42325001
    8900          54.14449316          17.26920608        -154.67320645        -137.40400037
    9000          54.76915087          17.46843858        -154.85352499        -137.38508641
    9100          52.69843728          16.80799137        -154.08729071        -137.27929934
    9200          49.75968118          15.87068488        -153.27001378        -137.39932891
